,Speaker,Text
9820,Sheldon,Well we were on our way to my mother’s house…
9821,Raj,Ooh maybe we could come up with a business plan to compete with this place.
9822,Penny,Hi.
9823,Leonard,Penny’s here.  No we don’t want to watch Bridget Jones’s Diary!
9824,Leonard,Well well we might want to live together.
9825,Penny,Good! Go! There are some girls right over there. What are you waiting for?
9826,Sheldon,When does a monkey have a trunk?
9827,Leonard,You shush I’m happy I want to talk about it. You know what my mother would say about this? She would say because you were not loved by your father and I was not loved by my mother that having sex is our way of making up for the intimacy we didn’t get as children.
9828,Howard,But you don’t have sex with her either.
9829,Leonard,No no. You gave me an explanation it’s reasonableness will be determined by a jury of your peers.
9830,Sheldon,Yes. Now when the robots rise up they’ll know that I’ve been rooting for them the whole time.
9831,Sheldon,Well that’s certainly a thought-provoking hypothesis. May I suggest it as the topic for your essay.
9832,Leonard,It just said Italian sub. I had no idea mortadella has pistachios in it.
9833,Sheldon,Y No. I’m as much a part of this relationship as you two and I think it’s high time we put all our cards on the table. For example where is this going? Are you two ever getting married? And if so where will we all live? Have you thought about that?
9834,Sheldon,You’d hit particulate soil on a colloidal suspension. Mud.
9835,Leonard,What happened?
9836,Raj,No.
9837,Leonard,Yes I’m upset.
9839,Leonard,You bought that? Great. I got to call her before I forget how I said it. Hey.
9840,Sheldon,I weep for humanity.
9841,Penny,Oh I really appreciate this. I just hope I’m not in over my head.
9842,Sheldon,Never. I’d rather see Monte dead than in your hands.
9843,Leonard,We’re gonna be here foreever.
9844,Sheldon,You tell me. I feel like I can’t breathe and I am tempted to crack you open and suck the air right out of your lungs.
9845,Sheldon,But someone might spoil the movie. No one can spoil Amy’s birthday for me. Surprise she’s even older. Who saw that coming?
9846,Sheldon,I’m going to run around outside with a wet head and try to catch a cold.
9847,Leonard,Sheldon she just got off the plane. She doesn’t want to cook.
9848,Leonard,Hang on are we talking about murdering Dennis Kim? I’m not saying no.
9849,Sheldon,I see. Take me to Leonard.
9850,Sheldon,Fire demon.
9851,Raj,I hate trains.
9852,Howard,Boy you cannot catch a break can you?
9853,Leonard,I killed his Chewbacca slippers.
9856,Howard,What?
9857,Sheldon,Perhaps not. But it is a way to speak to a woman who quoted the Bible to me my whole life and then desecrates one of Ethan Allen’s finest sofas.
9858,Sheldon,Even though the menu description specifies shredded?
9860,Penny,No it’s all right. Walk me down. So what’s up?
9861,Sheldon,Well he doesn’t say it’s a good game.
9862,Leonard,Thank you. This drink is a wonderful example of how liquids with different specific gravities interact in a cylindrical container. Thank you.
9863,Raj,No no. I will take care of it.
9864,Raj,I can actually feel the toxins being pulled out of my skin.
9865,Leonard,Oh. How’s it going?
9866,Penny,Yeah well I bet her laundry room wasn’t down five flights of stairs. You know giving really is better than receiving. I used to think it was such a cliche but it seems to be the… oh look at these cute jeans someone just threw away.
9867,Sheldon,Is it that the glucosinolates which give mustard its flavour were evolved by the cabbage family as a chemical defence against caterpillars?
9868,Howard,It’s sad that you know that.
9869,Sheldon,My problem is that I don’t want you to break Leonard’s toy which you probably did by shaking it. She shook it. We all saw her.
9870,Sheldon,Many years ago. Back when she was a grad student. She’s always been a huge fan of my work and now she’s doing research at Caltech.
9871,Penny,Mm-hmm. Hmm.
9872,Sheldon,I promised Penny.
9873,Sheldon,Actually much better.
9874,Leonard,Well now that you can focus again what do you say we get back to surface tension of domain walls?
9875,Leonard,It’s just a blackout I’m sure the power will be back on soon.
9876,Penny,I guess.
9877,Sheldon,I know and I do yearn for faster downloads but there’s some poor woman is going to pin her hopes on my sperm what if she winds up with a toddler who doesn’t know if he should use an integral or a differential to solve the area under a curve.
9878,Sheldon,Knock-knock.
9879,Raj,Uh excuse me.
9880,Leonard,I was thinking we could work on this at night and then maybe in a couple of weeks we’ll have ourselves an app to sell.
9881,Howard,It’s a re-writable CD. Just put it in.
9882,Raj,Lame characters with silly ac… what kind of actress are you?
9883,Raj,Wow that’s rough. Where’d you get that?
9884,Leonard,Do you want an allergy pill? ‘Cause I have ’em all. Prescription nonprescription foreign domestic experimental.
9885,Sheldon,That is the prevailing opinion.
9886,Howard,All right. Uh would would it be okay for me to see her? We’re usually in bed by now and I want her to know that I’m here. Yes we sleep together and sometimes we spoon.
9887,Sheldon,Can I have tea with honey and toast with the crust cut off?
9888,Raj,What? You slept with my sister?
9889,Leonard,That’s what I was doing.
9890,Penny,What?
9891,Raj,Okay.
9892,Raj,So you’re a dental student? Hmm are you aware that dentists have an extremely high suicide rate? Not as high as say air traffic controllers but then there are far more dentists than air traffic controllers so in pure numbers you’re still winning.
9893,Leonard,Chilli cheese fry?
9894,Sheldon,I knew we should’ve never mentioned us living together in the first place.
9895,Penny,What?
9896,Penny,Well if I would have been there and saw you alone I would’ve asked you to dance.
9897,Sheldon,More to the point it’s about finding a way to keep Leonard and Stephanie together.
9898,Penny,Mm-hmm. Anything else?
9899,Raj,Sheldon?
9900,Howard,I don’t want to watch Saturn 3. Deep Space Nine is better.
9901,Sheldon,Fair enough. It’d give you the right to rule a replica of England.
9902,Sheldon,Right now somewhere a woman is dividing the atomic weight of the best noble gas by the number of colours in the oldest national flag still in use.
9903,Sheldon,Well it was the two of you who found Amy Farrah Fowler for me. Now that I’m looking for my next girlfriend it seemed only logical that I employ your services once again.
9904,Penny,Please.
9905,Sheldon,I’m sorry I was aiming for your heart.
9906,Raj,Oh. You poor thing. You have one arrow in your quiver and you just can’t use it. Fortunately another pathway to a man’s heart is through his stomach.
9907,Sheldon,Jeepers I’m drunk.
9908,Penny,You’re a pig Howard.
9909,Howard,No ma’am.
9910,Penny,Okay.  Sometimes I feel like I can control the killer gorilla instinct inside of me but then I see these bananas and I just want to eat them and then kill people. What am I gonna do?
9911,Leonard,You called my mother?
9913,Sheldon,Fine. I’m mad at you. Not only did you ruin Raiders for me you may have ruined the whole franchise. Except for the fourth one which was bad before you got your mitts on it.
9914,Sheldon,She was old and blind Leonard. What choice did we have?
9915,Penny,Really? It didn’t work for you.
9916,Penny,No. We’re always doing what you guys want. Just once it’d be nice if you did something we wanted.
9917,Penny,Well is it or isn’t it?
9918,Raj,There was.
9919,Penny,It’s okay if you say no.
9920,Howard,Alright uh fine I’m coming and I’m bringing somebody. Uh Koothrappali plus one.
9921,Howard,Open it.
9923,Sheldon,You distract me. I’ve been distracted since the moment I met you.
9924,Sheldon,Come on Leonard I am spoon-feeding this to you.
9925,Penny,Good night. That was weird even for him.
9926,Penny,So how’s the food here? Oh wow that is really really good. Oh I’m sorry. You guys are on a date. We can hang out anytime. Have fun.
9927,Howard,Well and I ate all the crumb cake. We both made mistakes.
9928,Leonard,Yeah. Why?
9929,Penny,What’s yours?
9930,Sheldon,All right. Hmm huh I’m sorry I’m finding your reckless nonchalance regarding the check-engine light to be very troubling.
9931,Howard,I thought it was funny.
9932,Raj,That’s great.
9933,Raj,That had nothing to do with Rachel. It was an overreaction to a bad zipper injury.
9934,Raj,Dude this is this is brutal.
9935,Sheldon,I don’t see why I have to worry. My career’s not hanging in the balance. That was a joke. It’s funny because it’s true.
9936,Sheldon,You know who else said that? Every cocky T. Rex currently swimming around in the gas tank of your car.
9937,Sheldon,Interesting do you know where the phrase jibber-jabber comes from?
9938,Howard,You were in the middle of an erection.
9939,Howard,More wine?
9940,Sheldon,Okay now see you look sincere but your words are completely false. I’m glad we did this test run these brunches are wild.
9941,Penny,If you were this upset why didn’t you say so when I told you?
9942,Penny,Great.
9943,Sheldon,You lied to me?
9944,Howard,Yay.
9945,Leonard,Well uh not far. Hey if you ever wanna start a family La Cañada has some great schools.
9946,Sheldon,Yeah I picked it up without thinking about it. Which raises a neuroscientific question when did I decide to pick it up?
9947,Raj,It was the only way to keep you from being such a huge Dickensian. You see that? I added the ensian.
9948,Sheldon,Well perhaps when your mother gets here she’ll talk some sense into you.
9949,Sheldon,Legoland is not the solution to everything. And it’s too much of a scene since that movie came out.
9950,Penny,I did your horoscope remember I was going to do everybody’s until Sheldon went on one of his typical psychotic rants.
9951,Sheldon,All right. These are the talking points for my NPR interview tomorrow. I need to make sure that they’re simple enough for the less educated in the audience to understand. Howard look this over and tell me what’s unclear to you.
9952,Sheldon,Are you suggesting I terminate my relationship with Amy?
9953,Sheldon,You also made a common grammatical mistake you said nauseous when you meant nauseated. But go on.
9954,Sheldon,Why are you up?
9955,Sheldon,Hello.
9956,Penny,Yesterday. You made me look in your ear to see if there was a ladybug in it.
9957,Leonard,What is this?
9958,Howard,Got it. Now uh I have a question about the song. I was thinking at some point I could bust out a little rap.
9959,Sheldon,Wow I’m on fire tonight.
9960,Sheldon,You’re the teacher.
9961,Sheldon,Now don’t be insulted. He just thinks too much of you would be mind-numbingly tedious.
9962,Sheldon,Please please I don’t have a lot of time. Look Ramona finally dozed off and I need you to help me get rid of her.
9963,Raj,Yeah it’s the highest rated one on the market. I wouldn’t even call it a crib I’d call it a Fortress of Solitude for babies.
9964,Sheldon,I won! This is astonishing. Not that I won the award no one deserves it more. Actually I guess I misspoke. It’s not astonishing more like inevitable. I’m not sure what to do first. Maybe I should call my mother. Wait! I know I’m going to conduct an interview with myself and post it online.
9965,Leonard,Since when?
9966,Leonard,Well they argue all the time. They aren’t that close.
9967,Leonard,Buddy I am ready to drive you into the wilderness any time you want and leave you there.
9968,Howard,Okay. I’ll leave. But just know every time I come in here I’ll be thinking of you.
9969,Leonard,Well if that was a movie I would go see it.
9971,Raj,Okay well let me just tell you if we were having this argument in my native language I’d be kicking your butt.
9972,Leonard,And you were so good in the TV commercial.
9973,Raj,Nothing bad happens in The Lake House.
9974,Penny,So are you and Leonard working on an experiment together?
9975,Leonard,If it were your head it would be.
9976,Howard,Come on dude. This is my sister you’re talking about.
9978,Raj,Yeah you should have burned it down years ago.
9979,Sheldon,Hello Leonard do you like my bongos? Bet you didn’t know that I had bongos.
9980,Raj,I like to boogie.
9981,Howard,N-n-n-nothing happened to me.
9982,Penny,Yeah. No one wants to see that. Hey how about skinny dipping at the beach?
9984,Sheldon,Yes! This party just became a major rager.
9985,Sheldon,Oh it’s just a meeting. One simple meeting.
9986,Penny,No.
9987,Sheldon,Leonard it’s two in the morning.
9988,Raj,Right yeah right. But what do you think?
9989,Penny,No look Sheldon’s cousin Leo escaped rehab and he’s in a Motel 8 at Long Beach the whole family’s going out for an intervention. Leonard is driving Sheldon down there to help him through this because he’s such a good man.
9990,Sheldon, Penny?
9991,Howard,It has been a while since I got my prostate checked.
9992,Leonard,Oh Sheldon changed the password. It’s now Penny is a freeloader. No spaces.
9993,Leonard,Sheldon you know that if you stay up all night you’re gonna be sleepy tomorrow. And a sleepy Sheldon is a cranky Sheldon. And a cranky Sheldon is actually no different than a regular Sheldon. Good night.
9994,Leonard,To the bedroom.
9995,Leonard,A tribe of Abra-Comanches.
9996,Howard,There’s a 200-watt uninterruptible backup power supply.
9997,Penny,Do I look okay?
9998,Raj,Go ahead make fun. You can’t embarrass me I’ve got a beautiful girlfriend and a dog who loves me so much she drinks my bathwater.
9999,Sheldon,Mohammed is the most common first name in the world Lee the most common surname. As I didn’t know the answer I thought that gave me a mathematical edge.
10000,Leonard,Wow.
10001,Sheldon,You? No you’ll only make it worse.
10002,Leonard,Hey Priya.
10003,Penny,What?
10004,Penny,Honey instead of worrying about pain you might cause in the future how about trying to fix the pain you’re causing her right now?
10005,Sheldon,So no more interviews?
10006,Penny,She’s upset. Look it’s gonna be a great wedding. Look at you in your little suit.
10007,Sheldon,Sure. It’s not like I was invited to Richard Feynman’s house and have anything better to do.
10008,Sheldon,That’s no reason to cry. One cries because one is sad. For example I cry because others are stupid and it makes me sad.
10009,Sheldon,I think I’ll eat my lunch at home.
10010,Sheldon,Its weight and smoothness along with the slight concavity of the mirror means it can spin for a long time.
10011,Howard,Wouldn’t you feel better about yourself if you were more independent?
10012,Sheldon,Oh and how.
10013,Sheldon,Yes exactly I had a great time. That’s done I’ve moved on to other things. For example after I learn Finnish I’m not going to learn Finnish again.
10014,Penny,Wow. Can they?
10015,Leonard,If he were any bigger he’d have moons orbiting him.
10016,Penny,Yes he said he was feeling guilty and wanted to do what was right.
10017,Sheldon,I wouldn’t.
10018,Leonard,There are a couple of things I did with Penny that might be a little silly but…
10019,Penny,Sheldon.
10020,Sheldon,Ay-yi-yi.
10021,Howard,But we’ll have sex first right?
10022,Howard,Well you start off by trying to make chocolate souffle and when it falls you panic quickly change the name and voila! Lava cake.
10023,Leonard,I might kill him right now.
10024,Sheldon,I see. Well I assume since the rest of you have set the bar so low you’re saving the most impressive contribution for last. Go ahead Howard. Dazzle me.
10025,Sheldon,well no no I need something more permanent to join these papers. Say don’t you keep staples in your top desk drawer?
10026,Howard,Very well.
10027,Sheldon,Leonard?
10028,Raj,She’s gonna know I was looking in it.
10029,Sheldon,No.
10030,Sheldon,Careful it’s addictive.
10031,Leonard,It only gets funnier when you explain it Sheldon.
10032,Penny,Your what?
10033,Howard,You’d have no girlfriend to see you naked you’d try to fill the void with food and I’m an enabler who once deep-fried a pancake.
10034,Howard,The housekeeper does the shopping.
10035,Howard,Well if you leave now you can be back before the gorillas rip the crap out of Charlton Heston.
10036,Penny,So yeah anyway that’s my boyfriend. He is really smart.
10037,Sheldon,Who eats them horizontally?
10038,Raj,But I’m always on Howard’s team. We’re best friends. The kind who finish each others…
10039,Howard,What am I looking at?
10040,Leonard,Neat. Good work. Sheldon we’ve got to call this off.
10041,Sheldon,Where does he work?
10042,Sheldon,I’m behind you. Please look at me when you’re talking to me.
10043,Leonard,Shh-shh-shh-shh. Sheldon’s asleep. What’s going on?
10044,Leonard,Hang on Sheldon. How could you not tell me your sister was moving back to India?
10045,Howard,Well even if the study’s nonsense I don’t believe in tempting fate. Same reason I wouldn’t use a Ouija board or pick a fight with an Asian guy. He probably doesn’t know karate but why risk it?
10046,Penny,Yes. If it means that much to you you should go.
10047,Sheldon,You’re welcome Leonard.
10048,Sheldon,I wish I’d never gone on that trip. I feel no better now than when I left.
10049,Howard,Hey guys.
10050,Sheldon,My point is I don’t like when things change. So regardless of your feelings I would like you to continue dating Leonard. And also while we’re on the subject you recently changed your shampoo. I’m not comfortable with the new scent. Please stop this madness and go back to green apple.
10051,Howard,If it’s okay with you I’d like to go to temple.
10052,Raj,No you can’t join us. Just go go climb back up whatever beanstalk you came down from.
10053,Leonard,Hey how’d it go?
10054,Leonard,Howard every Thai restaurant in town knows you can’t eat peanuts. They see me coming they go “ah no peanut boy!”
10055,Sheldon,Excellent choice.
10056,Penny,Sheldon you can have a nice Thanksgiving anywhere. I spent one in Vegas.
10057,Leonard,Hysterical!
10058,Leonard,So why are you trying to ruin it?
10059,Sheldon,I need your advice about a delicate workplace situation. Uh to protect those involved I’ll be changing their names.
10060,Raj,Why do you care so much? You’re dating my sister and Penny and I are in love.
10061,Howard,Well I’m going back to India. What’s your plan?
10062,Sheldon,You know how the PennySaver only has my name…
10063,Howard,Sorry it’s not part of my heartwarming and personal narrative in which a humble boy from New Delhi overcame poverty and prejudice and journeyed to America to reach for the stars.
10064,Leonard,Howard and his mother are at the hospital. Come on we gotta go.
10065,Leonard,Congratulations. You’re officially one of us.
10066,Penny,Sheldon.
10067,Sheldon,Will they Leonard? 
10068,Sheldon,Another reason to consider a life of piracy. Even today I understand that’s an all-male profession.
10069,Penny,You know she seems very nice.
10070,Sheldon,Then how can I say it convincingly?
10071,Howard,We’re both frauds.
10072,Sheldon,Oh no I wouldn’t care for that. Amy?
10073,Sheldon,I suppose it has something to do with your recent passing.
10074,Sheldon,Uh let me ask you this. When I learn that I’m a robot would I be bound by Asimov’s three laws of robotics?
10075,Sheldon,But mostly here.
10076,Raj,Too bad I called dibs.
10077,Sheldon,Yes Lucky.
10078,Leonard,Bam. Right in the nose. Made me proud to own a PC.
10079,Raj,With sex.
10080,Raj,So what do you guys think that’s about?
10081,Raj,Let’s go home. You want to get something to eat?
10082,Penny,Okay I’m sorry honey but the Wesley Crushers sounds like a bunch of people who like Wesley Crusher.
10083,Howard,Okay then.
10084,Leonard,Uh right.
10085,Howard,Oh pish on your issues. You guys are fine. Yes you hit some bumps along the way. I mean Penny you’ve always known how this man has felt about you but you made him grovel for affection.
10086,Sheldon,A month? What? Are you kidding me? That would have been a good time for you to soften the blow.
10087,Sheldon,Hello.
10088,Penny,What do they have Wii cricket now? That can’t be very popular.
10089,Penny,Why would you say that?
10090,Leonard,I don’t understand.
10091,Sheldon,Okay I see so not a DVD burner.
10092,Raj,My my. The plot like my gravy thickens.
10093,Penny,Just don’t take it.
10094,Sheldon,It’s a Band-Aid at best. See the core problem is that Amy and Wil do not like each other. Which is baffling because they’re both crazy about me. And I like them which indicates they’re bright and interesting and/or were on Star Trek.
10095,Howard,No one was writing me back so I stopped checking my profile.
10096,Leonard,Okay we saw them. Can we go catch the movie?
10097,Leonard,Any other questions?
10098,Penny,Did you get my mail.
10099,Sheldon,I think you’ll like the drill tonight. I’ve tried to make it fun. Each of these cards contains a detailed scenario of a possible apocalyptic event. Everything from wild fires to a surprise invasion by Canada. Pick a catastrophe any catastrophe.
10100,Leonard,He was the host of this great… Hey!
10101,Sheldon,No but three two and we’re done is incomplete. You know those things bother me. It’s like hearing da-da-da-da-da-dah without yelling…
10102,Penny,Sheldon we have to go.
10103,Sheldon,Now where were we? Oh yes. Does anyone have any wood? Oh come on! I just want wood. Why are you making it so hard?
10104,Howard,Sure.
10105,Penny,So we didn’t actually…
10106,Howard,No hi Raj? No how are you Raj? Just straight to where’s the other white guy?
10107,Sheldon,Oh you’d like to catch up on the events of the day. All right. Well there was a half-hour wait at the bank to get into my safe deposit box I was forced to talk to Penny about your sexual problems and oh yes in a moment filled with biblical resonance pride wenteth before my fall causing my Flash 123 to goeth to Wolowitz.
10108,Sheldon,Leonard Penny wants to exploit any residual feelings you have for her in order to get a ride to work.
10109,Howard,It’s true you’re both gorgeous. Kind of says something about the man who could bed you both. You get why I’ve been alone most of my adult life.
10110,Penny,Oh sorry. We’ll keep it down.
10111,Sheldon,The humorous implication being that I am Wile E. Coyote?
10112,Howard,Oh she’s meeting us here. Hey guys do me a favour and don’t ask too many questions about the relationship. We’re just keeping it casual.
10113,Penny,Yeah okay great. Can we just get this over with?
10114,Leonard,I’ll go talk to her.
10115,Penny,Oh my God. Tell me what did I do?
10116,Howard,Speaking of untouchables I’ve got great news for you guys. People magazine is having a reception this Saturday and I managed to get you invited.
10117,Penny,Look I was just coming over to talk to you.
10118,Raj,Cool. All right friend.
10119,Leonard,Buddy I I get that you’re worried about me and I I appreciate that but I’m not going to die.
10120,Penny,I do I’ll teach you.
10121,Penny,Mm-hmm.
10122,Sheldon,Excuse me. I don’t know who you’re chanting for as I am currently the ball.
10124,Penny,Ooh ooh ooh angry?
10125,Leonard,So the guys and I were talking about renting a party bus and everyone going to Vegas.
10126,Penny,Hello.
10127,Leonard,Nailed it.
10128,Sheldon,They expect me to give a speech at the banquet. I can’t give a speech.
10129,Penny,You still worried some Berkeley girl is gonna steal him away?
10130,Sheldon,And Radio Shack.
10131,Howard,It means doo-doo.
10132,Penny,Uh-oh.
10133,Penny,Well I’m sorry Leonard it’s very hard to feel sympathy for you.
10134,Raj,No it’s fine. It’s not that big a deal. As long as they’re happy I’m happy. And when I get to see them for the holidays I’ll get to celebrate Diwali twice one at each house. That’s double the Diwali.
10135,Penny,Okay when I’m done with him I’m gonna need more information.
10137,Leonard,S-Y-F-Y. Sy-fee.
10139,Penny,You’re sitting here playing video games all day.
10140,Sheldon,Well it’s a new day. I have a new outlook. You know I realized I don’t need to worry about other people. I just need to think more about myself.
10141,Sheldon,Or instead of me.
10142,Penny,Oh that’s rough.
10143,Leonard,Forget the parties.
10144,Penny,Yeah right in there. She ate it and everything.
10145,Howard,When did you learn how to change a tyre?
10146,Sheldon,He could’ve softened the blow.
10147,Leonard,Anyway we can e-mail and I think the phone connections are pretty good.
10148,Leonard,What’s new at the Cheesecake Factory?
10149,Leonard,What if he lives in your garage?
10150,Sheldon,All right. You’re an actress. I need you to teach me.
10151,Howard,Just be honest. You don’t like it.
10152,Penny,Why did you have to make him happy?
10153,Sheldon,I hardly think so. You be sure and say hello to all the mosquitoes bees bears snakes possums poison oak oh and last but not least teenagers with guitars.
10154,Leonard,Wu-uh do you have some sort of a job?
10155,Penny,Raj you don’t have to serve us.
10156,Penny,Oh imagine that.
10157,Sheldon,Oh yeah.
10158,Raj,Well you must have someone in your family that’s a lawyer.
10159,Howard,Hey I don’t even live here.
10160,Penny,Look I’m sorry I didn’t text you back. I just needed some time to think.
10161,Sheldon,I know I may have started off with a fairly obvious one. You did an aspect of my most appealing trait playfulness. Why don’t you just go ahead and write that number 1. I’m afraid you’re on your own for the rest. It should take you no more than 3 hours.
10162,Sheldon,So that’s all this day was? A plan to butter me up before delivering bad news?
10163,Sheldon,Congratulations on a successful live show.
10164,Raj,Uh okay let’s see. They’ve got spicy food and there’s a chance you’ll get diarrhoea.
10165,Leonard,You know what? There is one thing I would like.
10166,Sheldon,Ladies ladies please. We’re not here to talk about Penny okay? We’re here to talk about me. Uh I mean Einstein Von Brainstorm. Oh darn it! All right I guess the cat’s out of the bag. Let me explain what’s going on. Ricardo is really Leonard.
10167,Howard,So uh what game are you… Oh. Crap.
10168,Leonard,What’s up with the infrared cameras?
10169,Sheldon,Really? That seems rather short sighted coming from someone who is generally considered altogether unlikable. Why don’t you take some time to reconsider?
10170,Howard,He gave me his business card and asked me to please pass it along to Howard.
10171,Leonard,Does it have melon on it?
10172,Sheldon,Uh Alex a moment. I need a word with Dr. Hofstadter. Do you think it’s appropriate for her to sit with us given her station?
10173,Raj,Well hey you’re my dear friends. You’ll get a Christmas card for a couple of years and then you’re dead to me.
10174,Penny,And sometimes we marry them anyway.
10175,Howard,Face it dude Bernadette treats you the same way your mother used to and that was not a healthy relationship.
10176,Penny,What’s the difference?
10177,Raj,You did what you had to do. 
10178,Howard,You brought your mother into this!
10179,Leonard,Oh. Well you know just being myself really.
10180,Sheldon,I’m not going to pay a fine. That would imply I’m guilty.
10181,Sheldon,Hang on. 130 over 80. A little high. We can attribute that to the stress of sneaking past the security desk.
10182,Leonard,Hey there’s no reason for you to be scared.
10183,Sheldon,It was in my weekly e-mail blast. Right between beet season is finally here and uh-oh red stool from beets leads to cancer scare.
10184,Sheldon,That’s odd.
10185,Sheldon,Leonard I’m dying.
10187,Howard,I’d rather have Fishbine’s it’s bigger.
10188,Penny,Yes.
10189,Penny,Oh hey if you guys are free this weekend I won a night of wine tasting from work.
10190,Leonard,Why didn’t you tell me you knew Elizabeth Plimpton? I am a huge fan of hers!
10191,Sheldon,Are you sure? Every time my dad stayed out all night my mom would put hamster poop in his chewing tobacco.
10192,Sheldon,Wear loafers. Look at Dr. Saul Perlmutter up there clutching that Nobel Prize. What’s the matter Saul? You afraid someone’s going to steal it? Like you stole Einstein’s cosmological constant?
10193,Leonard,It’s a joke.
10194,Leonard,Not really.
10195,Leonard,You made Frodo pancakes?
10196,Leonard,Jerry?
10197,Sheldon,Is someone there?
10198,Sheldon,What people?
10199,Penny,So who’s the girl?
10200,Leonard,Like what? He’ll never be able to cope with the fact that some fifteen year-old kid is smarter and more accomplished than he is.
10201,Raj,No no. Please don’t cry.
10202,Penny,Me too.
10203,Penny,I know you’ve been giving me secret puzzle tests.
10204,Leonard,It gets better. Instead of me you can take someone who will actually enjoy it.
10205,Penny,Oh for God’s sake just come to the play.
10206,Howard,Thank you.
10207,Sheldon,You’re talking to one of the three men in the Western hemisphere capable of following that train of thought.
10208,Sheldon,No one likes a know-it-all Penny.
10209,Howard,Oh don’t take it so personally maybe your baby’s just a jerk.
10210,Sheldon,Of course. We’re coming as the Justice League of America.
10211,Sheldon,What? I’m annoying? You criticize my behaviour all the time. Sheldon don’t talk about your bowel movements over breakfast. Sheldon when the president of the university is giving a eulogy at a funeral don’t yawn and point at your watch. Sheldon don’t throw away my shirts ’cause you think they’re ugly. You’re impossible.
10212,Howard,We do?
10213,Sheldon,Be sure to check the mail.
10214,Howard,I don’t think we’re going to do that.
10215,Raj,Thank you but cute is for bunnies. I want to be something with sex appeal like like a labradoodle.
10216,Sheldon,Don’t. It’s terrible. However in it we learn that when Spock finds himself drawn off the path of logic by feelings bubbling up from his human half he suppresses them using the Vulcan mental discipline of Kolinar.
10217,Penny,I kind of did. The part in that awful horror movie I passed on came back around. Apparently it’s mine if I want it.
10218,Sheldon,Four questions. There answer’s four.
10219,Raj,How did that even happen? Did they know that’s what they were doing when they were doing it?
10220,Sheldon,I don’t understand my food. Chinese noodles with Korean barbecue in a taco.
10221,Raj,By staying here and watching the movie.
10223,Leonard,I can’t hear you I’m in the shower.
10224,Sheldon,So it was working.
10225,Leonard,Really not a good time.
10226,Sheldon,Oh that’s a rather earthy cologne. My uncle used to wear that. Perhaps we can enjoy one last meal together before Leonard returns.
10227,Leonard,I want to say something obnoxious but it is easy on the eyes.
10228,Sheldon,Interesting that you ask. The Coast Starlight recently added the refurbished Pacific Parlour Car. Built in 1956 and originally known as the Santa Fe Lounge Car the lower level is a theatre…
10229,Sheldon,You have to check your messages the leaving of a message is one half of a social contract which is completed by the checking of the message. If that contract breaks down then all social contracts break down and we descend into anarchy.
10230,Leonard,So no on the Shepherd’s Pie. Can we move on?
10231,Sheldon,To Sheldon sorry this took so long. Your friend Wil Wheaton.
10232,Sheldon,Of course there is. The Mini Cooper ’cause it’s me.
10233,Raj,Yeah grow up Howard. God.
10234,Leonard,Sheldon are you going to introduce us?
10235,Leonard,Yup she’s right. For every Newton who had a psychological issue there’s an Edison who was just a jerk. That could totally be you.
10236,Sheldon,Well that means not one or not any. Maybe instead of a table you should buy a dictionary. Well I don’t know if I won that but at least he’s upset.
10237,Leonard,Yeah I’m good.
10238,Raj,And I was wondering if any of you guys would like to help me do it.
10239,Sheldon,When I was five I ingested a Z gauge locomotive. I spent the next three days saying I think I can pass it I think I can pass it I think I can pass it.
10240,Penny,Oh I am. Maybe if you follow this trail you’ll see why.
10241,Howard,Thor said that’s a nice look in nineteen fourty-foura.
10242,Howard,Um no.
10243,Sheldon,My point is if Koothrappali is moving on to a new life of shallow undeserved fame perhaps this is an opportunity to create a better cohort.
10244,Sheldon,You know I’m given to understand that there is an entire city in Nevada designed specifically to help people like Howard forget their problems. Where  you can replace them with new problems such as alcoholism gambling addiction and sexually transmitted diseases.
10245,Leonard,Yeah.
10246,Leonard,Come here.
10247,Howard,I’m impressed. This is very lifelike.
10249,Leonard,I just got here.
10250,Leonard,Okay. I know I propose a lot. So how about this? I promise I will never ask you to marry me again.
10251,Leonard,For one thing you live with your mother.
10252,Penny,Oh yeah right. Wait what was your problem again?
10253,Penny,Sheldon didn’t heckle him?
10254,Penny,No it’s not okay. Look at me okay? I took a temp job as a waitress forever ago and I’m still doing it. I can’t quit because guess what? I can’t do anything else. And I finally get my big break and it goes away. I’m such a mess.
10255,Raj,I should say so he appears to be a member of the Nigerian royal family.
10256,Leonard,Here you go.
10257,Leonard,No. I got upset. And Sheldon made me a beverage too.
10258,Howard,Just leave! Okay now. This is the way it’s supposed to be. Men together fighting the forces of evil.
10260,Leonard,Oh my God it’s seven.
10261,Leonard,Sheldon hang tight. Hey do you want me to bring anything?
10262,Howard,Not now Leonard Michaela’s inviting me to a party. You better call the moon and you make sure that they have a bed for you.
10263,Howard,You should go to my girl. She’ll knock out those sideburns for free.
10264,Leonard,I’m sorry. You’re pretty I’m stupid. Hello. Uh just checking again for Hofstadter. Still gonna be an hour?
10265,Penny,So you’ve really never had a birthday party?
10266,Howard,Is that true?
10267,Penny,That did not clear things up.
10268,Sheldon,Ooh I don’t think so. No anecdotal evidence suggests that in the game of rock-paper-scissors players familiar with each other will tie 75 to 80% of the time due to the limited number of outcomes. I suggest rock-paper-scissors- lizard-Spock.
10269,Sheldon,He’s right. I say we call this person back. We’ve got no reason to hide.
10270,Leonard,I was sleeping.
